# Market symbol master config
# yahoo_symbol  : REST API symbol AND WebSocket symbol (indices stream directly)
# ws_symbol     : override only for commodity ETF proxies (GLD, SLV)
#                 Leave blank for equity indices — they stream as-is via Yahoo WS
# display_name  : label shown in UI
# source_type   : EQUITY | MCX_GOLD | MCX_SILVER | COMEX_COPPER | COMEX_CRUDE
# unit_XX       : NATIVE = display index value as-is
yahoo_symbol,ws_symbol,display_name,source_type,unit_IN,unit_US,unit_GB,unit_JP,unit_AU,unit_HK,unit_DE,unit_CN,unit_CA,unit_SG,unit_KR,unit_NZ,unit_TW,unit_DEFAULT
# ── India ──────────────────────────────────────────────────────────────────
^NSEI,,NIFTY 50,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
^BSESN,,SENSEX,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
^NSEBANK,,BANK NIFTY,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
^CNXIT,,NIFTY IT,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
# ── United States ──────────────────────────────────────────────────────────
^GSPC,,S&P 500,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
^IXIC,,NASDAQ,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
^DJI,,DOW JONES,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
^NDX,,NASDAQ 100,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
^RUT,,RUSSELL 2000,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
^VIX,,VIX,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
# ── United Kingdom ─────────────────────────────────────────────────────────
^FTSE,,FTSE 100,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
^FTMC,,FTSE 250,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
# ── Europe ─────────────────────────────────────────────────────────────────
^GDAXI,,DAX,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
^FCHI,,CAC 40,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
^STOXX50E,,EURO STOXX 50,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
# ── Asia Pacific ───────────────────────────────────────────────────────────
^N225,,NIKKEI 225,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
^HSI,,HANG SENG,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
000001.SS,,SHANGHAI,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
399001.SZ,,SHENZHEN,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
^AXJO,,ASX 200,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
^AORD,,ALL ORDS,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
^KS11,,KOSPI,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
^KQ11,,KOSDAQ,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
^STI,,STI,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
^GSPTSE,,TSX,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
^TWII,,TAIWAN,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
^NZ50,,NZX 50,EQUITY,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE,NATIVE
